average_rating,format,num_pages,publication_year,ratings_count,text_reviews_count,to_read_count,series_binary,author_average_rating
4.07,Paperback,212,1973,12,2,12.0,0,3.74
3.96,Paperback,316,2012,6,4,1993.0,1,3.88
4.0,other,221,2016,2,2,326.0,1,4.38
3.82,Paperback,326,2015,39,5,352.0,1,3.97
4.11,other,20,2013,101,7,153.0,1,4.115
4.1,Paperback,238,2012,24,8,10212.0,0,3.835
2.83,Hardcover,30,2005,2,1,57.0,0,3.9
3.68,Paperback,392,1994,181,16,22.0,1,3.81
3.68,other,496,2002,78,9,1062.0,1,3.82
4.11,Paperback,294,2002,9,1,10.0,0,4.11
4.27,Paperback,511,2003,175,21,280.0,0,4.25
3.09,Paperback,289,2004,14,4,120.0,0,3.81
3.86,Paperback,188,2006,162,15,5279.0,1,3.73
3.67,Paperback,112,2011,3,1,7.0,0,3.72
3.13,Paperback,359,2011,48,8,19.0,1,3.47
3.37,Hardcover,389,2009,375,64,322.0,0,3.31
3.3,Paperback,512,2012,28,5,13808.0,1,3.91
3.93,Paperback,355,2013,55,11,10776.0,1,3.91
3.79,Paperback,336,2012,3436,294,2426.0,0,3.67
4.43,Paperback,256,2013,23,2,531.0,1,4.33
4.15,Paperback,432,2013,859,80,620.0,1,3.97
4.2,Hardcover,64,1976,8,3,29.0,0,3.91
4.25,Hardcover,32,1987,5,2,4.0,0,3.9299999999999997
3.21,Hardcover,173,1992,16,4,25.0,0,4.02
4.17,Hardcover,64,1985,8,3,2052.0,0,4.23
3.79,Hardcover,109,1971,15,5,1437.0,0,3.63
3.2,Hardcover,40,2010,94,11,28.0,0,3.59
4.06,Paperback,368,2004,183,37,216.0,0,4.04
3.19,Hardcover,256,2008,323,93,2.0,0,3.48
4.19,Paperback,82,2004,176,29,208.0,0,4.08
3.96,Paperback,368,1989,156,6,332.0,0,4.013124999999999
3.99,Paperback,256,1992,84,3,107.0,0,4.22
4.01,Paperback,272,1997,1131,127,1420.0,0,4.02
3.53,Hardcover,432,2009,250,39,386.0,0,3.56
4.08,Paperback,400,2005,23,1,1618.0,1,4.19
4.1,Hardcover,455,2006,18,3,476.0,1,4.11
3.59,Paperback,272,2006,14,7,5.0,0,3.63
3.34,Hardcover,385,2007,79,20,40.0,0,3.39
3.61,Paperback,302,2005,268,50,89.0,0,3.69
3.68,ebook,400,2005,12,5,740.0,1,4.010000000000001
3.98,Paperback,272,2006,378,39,269.0,0,4.09
3.62,Paperback,368,2009,9,1,86.0,1,3.65
4.25,Paperback,425,2013,2410,128,1786.0,0,3.975
3.33,Paperback,400,2001,52,5,4.0,0,3.6
3.8,Hardcover,208,2009,1449,272,1222.0,0,3.77
3.16,Hardcover,238,2007,251,66,147.0,0,3.26
3.38,Paperback,288,2009,4,1,48.0,0,3.47
3.92,Hardcover,339,2009,154,44,62.0,0,4.08
3.65,ebook,464,2009,8,3,4372.0,0,3.56
3.86,ebook,448,2009,7,1,1113.0,0,3.75
3.53,Paperback,336,2010,239,24,3056.0,1,3.54
3.99,Paperback,512,2014,9,1,467.0,0,4.0
3.82,other,325,2011,407,60,804.0,1,3.68
4.3,Paperback,384,2012,118,10,313.0,1,4.14
3.85,Paperback,32,2013,3,2,8.0,1,3.745
3.86,Hardcover,352,2012,17,5,501.0,1,3.84
3.92,ebook,576,2010,8,4,1892.0,0,3.92
4.03,Paperback,368,2010,16,4,148.0,1,4.03
4.03,ebook,246,2009,144,22,7725.0,1,3.99
3.98,ebook,266,2010,12,2,732.0,1,3.88
3.56,ebook,336,2010,40,14,4730.0,1,3.8
4.19,Paperback,321,2010,125,29,16295.0,0,4.17
3.83,Paperback,384,2011,66,13,1233.0,1,3.75
3.82,ebook,264,2010,189,55,3146.0,0,3.84
3.53,Hardcover,304,2012,34,8,194.0,0,3.6
3.79,Hardcover,304,2012,41,7,31.0,0,3.84
4.17,ebook,464,2012,32,4,2005.0,1,4.17
4.23,other,372,2012,8065,389,1151.0,1,4.12
4.08,Paperback,384,2016,6,3,5283.0,1,3.85
3.75,Hardcover,232,2014,3749,491,8536.0,1,3.87
3.85,Paperback,368,2013,989,187,2531.0,0,3.78
4.15,Paperback,448,2015,35,10,12548.0,1,3.9
4.06,ebook,487,2013,1613,177,40.0,1,3.91
3.57,other,10,2013,33,8,294.0,0,3.66
4.19,Hardcover,416,2015,397,54,242.0,1,4.08
3.75,Paperback,403,2013,118,16,142.0,1,3.96
3.53,Hardcover,288,2017,665,173,5074.0,0,3.83
4.03,ebook,336,2014,18,6,642.0,1,3.97
4.09,ebook,384,2015,3591,315,3822.0,1,4.12
3.73,Hardcover,320,2016,168,26,244.0,0,3.73
3.97,Hardcover,240,2015,87,29,441.0,0,3.94
4.02,Hardcover,288,2016,496,118,1174.0,0,3.77
3.87,other,375,2016,10274,1234,18487.0,1,3.98
3.78,ebook,352,2016,26,10,4584.0,0,4.06
3.57,Hardcover,40,2015,198,38,57.0,0,3.84
3.36,ebook,368,2016,615,100,1164.0,0,3.8200000000000003
3.71,ebook,400,2017,86,34,1314.0,0,3.82
3.83,Paperback,322,2016,7,4,9977.0,0,3.85
4.09,Paperback,312,2017,80,18,3533.0,1,4.11
3.62,Paperback,128,1976,53,8,74.0,0,3.96
3.66,Paperback,112,1995,40,10,27.0,0,3.82
4.24,Paperback,32,1976,8424,75,848.0,1,4.1850000000000005
3.98,Paperback,288,2003,164,15,203.0,0,4.03
4.0,Paperback,224,2005,1,1,7.0,0,3.98
4.33,Hardcover,256,1992,21,2,963.0,0,4.18
3.61,Paperback,288,2001,5,2,89.0,1,3.64
3.79,Hardcover,320,2013,42,17,211.0,0,3.61
3.85,Paperback,318,2011,33,9,466.0,0,3.82
3.64,Paperback,352,1974,19,6,307.0,1,3.71
3.77,Paperback,448,2006,14,2,140.0,1,3.95
3.89,Paperback,319,2002,3115,263,553.0,1,3.85
3.79,Paperback,169,2002,30,4,41.0,0,4.13
4.03,Paperback,432,1996,11,1,1549.0,0,4.04
3.7,Paperback,480,2008,12,3,812.0,0,3.62
3.29,Paperback,176,2007,192,26,233.0,0,3.45
4.09,Paperback,368,2006,14,3,204.0,1,4.04
3.71,Paperback,352,2008,135,14,2329.0,0,3.83
4.01,Paperback,512,2008,51,3,54.0,0,3.95
4.15,Hardcover,480,2011,86,7,76.0,0,4.16
3.38,Paperback,336,2014,94,18,94.0,0,3.76
3.94,Paperback,618,2006,59,12,29863.0,1,3.94
3.83,Paperback,208,1996,84,8,42.0,0,3.87
4.18,Paperback,632,2014,36,7,6912.0,0,4.12
3.66,Paperback,228,1982,21,1,55.0,0,3.73
4.09,Paperback,266,1986,138,15,247.0,1,3.9
3.77,Paperback,432,1994,76,13,119.0,0,3.88
3.72,Paperback,384,1996,61,9,117.0,0,3.7350000000000003
3.54,Paperback,224,1950,41,3,68.0,1,3.63
3.84,Paperback,198,1998,2545,168,1520.0,0,3.76
3.31,Paperback,320,2004,117,22,1064.0,0,3.46
3.66,Paperback,320,2000,38,6,46.0,0,3.67
4.15,Paperback,192,1977,1342,50,508.0,1,4.19
4.0,Paperback,96,1989,2,1,3.0,0,3.83
3.44,Paperback,240,1987,80,5,44.0,1,3.895
3.79,Paperback,288,1991,93822,3503,6923.0,1,3.83
3.8,Paperback,281,1986,43,4,2650.0,0,4.05
3.62,Paperback,192,1994,24,3,1506.0,0,3.59
4.15,Paperback,831,2001,49,4,118.0,0,4.16
4.53,Paperback,296,2003,79457,4143,2997.0,1,4.38
3.61,Paperback,197,2006,2378,193,86574.0,1,3.63
3.63,Paperback,352,2007,50,6,58.0,0,3.8
3.58,Paperback,119,2008,398,34,473.0,0,3.985
3.77,Paperback,412,2012,138,34,8462.0,1,3.74
3.69,Paperback,96,2010,64,9,44.0,0,3.93
3.56,Paperback,452,2012,50,7,369.0,0,3.69
3.94,Paperback,64,2002,420,27,218.0,1,3.91
4.23,Paperback,375,2006,2296,324,44859.0,1,4.32
4.03,Paperback,154,2005,176,4,128.0,1,4.0
4.52,Paperback,118,2009,61,4,82.0,1,4.21
4.17,Paperback,160,2016,57,12,2625.0,1,3.95
4.12,Paperback,288,2001,170,8,189.0,0,4.133333333333334
3.76,Paperback,206,2004,110,13,2129.0,0,4.05
3.5,Paperback,176,2004,160,21,166.0,0,3.77
3.72,Paperback,368,2013,103,14,296.0,0,3.77
4.1,Paperback,560,2012,83,9,292.0,0,4.045
3.04,Paperback,128,2005,26,6,11.0,0,3.12
3.77,Paperback,566,2006,303,40,1242.0,0,3.76
4.12,Paperback,264,2012,728,66,946.0,0,4.13
4.3,Paperback,336,2009,301,42,15176.0,1,4.21
3.55,Paperback,208,2010,90,18,1193.0,0,3.64
3.65,Paperback,352,2015,52,11,119324.0,0,3.8649999999999998
4.06,Paperback,66,2011,27,2,24.0,1,3.88
3.89,Paperback,200,2013,80,9,35.0,0,4.03
3.5,ebook,176,2015,11,3,59.0,0,3.5
4.59,Paperback,417,2017,35,14,26.0,0,3.78
4.44,Paperback,812,2015,103,9,406.0,1,3.97
4.02,Hardcover,32,2001,60,18,15.0,0,4.005
3.37,Paperback,272,1997,88,11,29.0,0,3.47
3.96,Paperback,162,1990,856,99,987.0,0,3.965
4.04,Paperback,192,2000,52724,874,3886.0,1,3.98
3.77,Paperback,499,1998,39,5,9108.0,0,4.029999999999999
3.59,Paperback,64,2001,22,7,79.0,0,3.74
3.65,Hardcover,736,2000,27,2,68.0,0,3.74
3.6,Paperback,539,2004,48,7,13.0,0,3.585
2.5,Hardcover,340,2009,2,1,14.0,0,2.5
4.17,Hardcover,675,1989,7,3,651.0,0,4.1
3.67,Hardcover,464,1999,32,6,29.0,0,3.67
3.78,Paperback,599,2007,9,1,5.0,0,3.91
4.5,Hardcover,240,2013,6,3,16.0,0,3.68
4.0,Hardcover,216,2011,8,1,9.0,0,4.0
4.0,Hardcover,408,2013,3,1,2.0,0,4.0
4.31,Hardcover,600,1993,975,29,1206.0,0,4.3
0.0,other,194,1982,0,1,2.0,0,4.4
4.14,Hardcover,304,2009,12,2,6.0,0,4.03
3.04,Hardcover,288,2012,35,6,46.0,1,2.93
