isbn13,average_rating,book_id,format,num_pages,publication_year,ratings_count,text_reviews_count,to_read_count,series_binary,author_average_rating
0025986347017,4.07,609181,Paperback,212,1973,12,2,12.0,0,3.74
222010904671,3.96,28362852,Paperback,316,2012,6,4,1993.0,1,3.88
2940152596472,4.0,29425575,Nook,221,2016,2,2,326.0,1,4.38
6281072079642,3.82,29084192,Paperback,326,2015,39,5,352.0,1,3.97
8277140053700,4.11,19732815,comic,20,2013,101,7,153.0,1,4.115
8936066930017,4.1,16060598,Paperback,238,2012,24,8,10212.0,0,3.835
9518824630,2.83,35014777,Hardcover,30,2005,2,1,57.0,0,3.9
9780006178699,3.68,869918,Paperback,392,1994,181,16,22.0,1,3.81
9780006511847,3.68,64177,Mass Market Paperback,496,2002,78,9,1062.0,1,3.82
9780007116546,4.11,866772,Paperback,294,2002,9,1,10.0,0,4.11
9780007134670,4.27,242359,Paperback,511,2003,175,21,280.0,0,4.25
9780007171385,3.09,2272316,Paperback,289,2004,14,4,120.0,0,3.81
9780007204984,3.86,841937,Paperback,188,2006,162,15,5279.0,1,3.73
9780007273591,3.67,6759096,Paperback,112,2011,3,1,7.0,0,3.72
9780007296811,3.13,12034097,Paperback,359,2011,48,8,19.0,1,3.47
9780007303403,3.37,6494994,Hardcover,389,2009,375,64,322.0,0,3.31
9780007326976,3.3,12956808,Paperback,512,2012,28,5,13808.0,1,3.91
9780007327003,3.93,12968370,Paperback,355,2013,55,11,10776.0,1,3.91
9780007351732,3.79,15734715,Paperback,336,2012,3436,294,2426.0,0,3.67
9780007478279,4.43,17320089,Paperback,256,2013,23,2,531.0,1,4.33
9780007492312,4.15,17926971,Paperback,432,2013,859,80,620.0,1,3.97
9780027083705,4.2,892828,Hardcover,64,1976,8,3,29.0,0,3.91
9780027937503,4.25,6024959,Hardcover,32,1987,5,2,4.0,0,3.9299999999999997
9780060183288,3.21,2029303,Hardcover,173,1992,16,4,25.0,0,4.02
9780060239480,4.17,1972168,Hardcover,64,1985,8,3,2052.0,0,4.23
9780060268299,3.79,1793646,Hardcover,109,1971,15,5,1437.0,0,3.63
9780060501976,3.2,7284191,Hardcover,40,2010,94,11,28.0,0,3.59
9780060535483,4.06,232889,Paperback,368,2004,183,37,216.0,0,4.04
9780060539078,3.19,2283967,Hardcover,256,2008,323,93,2.0,0,3.48
9780060578268,4.19,112586,Paperback,82,2004,176,29,208.0,0,4.08
9780060613839,3.96,778976,Paperback,368,1989,156,6,332.0,0,4.013124999999999
9780060655679,3.99,1463234,Paperback,256,1992,84,3,107.0,0,4.22
9780060677015,4.01,30948,Paperback,272,1997,1131,127,1420.0,0,4.02
9780060747497,3.53,6449404,Hardcover,432,2009,250,39,386.0,0,3.56
9780060748043,4.08,328935,Paperback,400,2005,23,1,1618.0,1,4.19
9780060766221,4.1,2330713,Hardcover,455,2006,18,3,476.0,1,4.11
9780060776916,3.59,1306415,Paperback,272,2006,14,7,5.0,0,3.63
9780060785642,3.34,579197,Hardcover,385,2007,79,20,40.0,0,3.39
9780060792442,3.61,783317,Paperback,302,2005,268,50,89.0,0,3.69
9780060829414,3.68,6991286,ebook,400,2005,12,5,740.0,1,4.010000000000001
9780060850005,3.98,417582,Paperback,272,2006,378,39,269.0,0,4.09
9780060899035,3.62,6595036,Paperback,368,2009,9,1,86.0,1,3.65
9780060932879,4.25,72996,Paperback,425,2013,2410,128,1786.0,0,3.975
9780061014925,3.33,981147,Paperback,400,2001,52,5,4.0,0,3.6
9780061214776,3.8,4722869,Hardcover,208,2009,1449,272,1222.0,0,3.77
9780061284175,3.16,512902,Hardcover,238,2007,251,66,147.0,0,3.26
9780061472596,3.38,6990947,Paperback,288,2009,4,1,48.0,0,3.47
9780061493447,3.92,3975842,Hardcover,339,2009,154,44,62.0,0,4.08
9780061749674,3.65,10130266,ebook,464,2009,8,3,4372.0,0,3.56
9780061758232,3.86,10176624,ebook,448,2009,7,1,1113.0,0,3.75
9780061767616,3.53,7804857,Paperback,336,2010,239,24,3056.0,1,3.54
9780061775147,3.99,18089898,Paperback,512,2014,9,1,467.0,0,4.0
9780061783142,3.82,7294543,Mass Market Paperback,325,2011,407,60,804.0,1,3.68
